Springfield Devs,,,,,,,,,
Journal,,,,,,,,,
January - December 2019,,,,,,,,,
,,,,,,,,,
,Date,Transaction Type,Num,Adj,Name,Memo/Description,Account,Debit,Credit
,02/22/2019,Bill,14034470,No,Name.com,Paid by Myke Bates on 02/22/2019. Need to reimburse.,Accounts Payable (A/P),,222.50   
,,,,No,,DEVS sgf.dev,Devs:Devs Software & Hosting,111.25   ,
,,,,No,,DEVS springfield.dev,Devs:Devs Software & Hosting,111.25   ,
,,,,,,,,$222.50   ,$222.50   
,,,,,,,,,
,04/16/2019,Bill,US2019-139570,No,Meetup.com,Paid by Myke Bates on 04/16/2019. Need to reimburse.,Accounts Payable (A/P),,89.94   
,,,,No,,DEVS Unlimited Organizer Subscription 6 Months 04/19/19-10/19/19 ($14.99/mo),Devs:Devs Software & Hosting,89.94   ,
,,,,,,,,$89.94   ,$89.94   
,,,,,,,,,
,08/02/2019,Bill,14783087,No,Name.com,Paid by Myke Bates on 08/02/2019. Need to reimburse.,Accounts Payable (A/P),,13.98   
,,,,No,,METHOD methodconf.com,Method:Method Software & Hosting,13.98   ,
,,,,,,,,$13.98   ,$13.98   
,,,,,,,,,
,08/07/2019,Bill,2600147,No,Kutak Rock,Paid by Myke Bates on 08/07/2019. Need to reimburse.,Accounts Payable (A/P),,750.00   
,,,,No,,"Prepare the articles of incorporation for the company, Prepare the consent of the incorporator and consent of the initial directors, Prepare the bylaws, Review and revise draft corporation documents",Devs:Devs Legal,750.00   ,
,,,,,,,,$750.00   ,$750.00   
,,,,,,,,,
,08/19/2019,Bill,311,No,Brad Hill Design Group,Paid by Myke Bates on 08/19/2019. Need to reimburse.,Accounts Payable (A/P),,"1,150.00   "
,,,,No,,DEVS Branding Develop visual identity for SGF DEVS,Devs:Devs Design,575.00   ,
,,,,No,,METHOD Branding Develop visual identity for Method Conference,Method:Method Design,575.00   ,
,,,,,,,,"$1,150.00   ","$1,150.00   "
,,,,,,,,,
,08/22/2019,Bill,,No,Diamond Room / Simply Delicious,Paid by Myke Bates on 08/22/2019. Need to reimburse.,Accounts Payable (A/P),,500.00   
,,,,No,,METHOD Deposit for Catering Services and Diamond Room Venue 03/05/2020,Method:Method Facilities & Catering,500.00   ,
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,08/23/2019,Bill,R421753607,No,Sticker Mule,Paid by Myke Bates on 08/23/2019. Need to reimburse.,Accounts Payable (A/P),,176.80   
,,,,No,,"DEVS Custom 3.63"" x 3"" Die cut stickers (100 $96)",Devs:Devs Print Materials,90.28   ,
,,,,No,,"METHOD Custom 4.85"" x 2"" Die cut stickers (100 $92)",Method:Method Print Materials,86.52   ,
,,,,,,,,$176.80   ,$176.80   
,,,,,,,,,
,09/03/2019,Pledge,1001,No,Logic Forte,,Accounts Receivable (A/R),500.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/03/2019,Pledge,1002,No,Hearo Technologies,,Accounts Receivable (A/R),500.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/03/2019,Pledge,1003,No,EmergencMe,,Accounts Receivable (A/R),500.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/03/2019,Payment,,No,Logic Forte,,Devs Checking (7527),500.00   ,
,,,,No,,,Accounts Receivable (A/R),,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/04/2019,Payment,,No,Hearo Technologies,,Devs Checking (7527),500.00   ,
,,,,No,,,Accounts Receivable (A/R),,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/04/2019,Bill,,No,Domino's Pizza (National),,Accounts Payable (A/P),,223.19   
,,,,No,,"Pizza Order for Dev Night
15 12"" Hand tossed Cheese
4 Stuffed Bread 8pc
3 Marble Cookie Brownie 9pc
6 Soda 2L
8 Marinara
3 Hot Wings 8pc
Delivery Charge 2.49
Tip 30",Devs:Devs Member Meals,223.19   ,
,,,,,,,,$223.19   ,$223.19   
,,,,,,,,,
,09/05/2019,Bill Payment (Check),,No,Domino's Pizza (National),Dev Night 09/04,Devs Checking (7527),,223.19   
,,,,No,,,Accounts Payable (A/P),223.19   ,
,,,,,,,,$223.19   ,$223.19   
