Springfield Devs,,,,,,,,
Transaction Detail by  Account,,,,,,,,
January - December 2021,,,,,,,,
,,,,,,,,
,Date,Transaction Type,Num,Adj,Name,Memo/Description,Split,Amount
Devs Checking (7527),,,,,,,,
,01/04/2021,Expenditure,636334269,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.29  
,01/04/2021,Bill Payment (Check),,No,Zoom Video,,Accounts Payable (A/P),-14.99  
,01/06/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,01/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,02/01/2021,Check,2001,No,Pillar Insurance Springfield,,Devs:Devs Insurance,"-1,148.00  "
,02/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,02/02/2021,Bill Payment (Check),,No,Zoom Video,,Accounts Payable (A/P),-14.99  
,02/04/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.22  
,02/08/2021,Expenditure,,No,,,Devs:Devs Software & Hosting,-232.48  
,02/08/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,02/11/2021,Expenditure,,No,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs:Devs Payment Fees (Intuit),-6.00  
,02/11/2021,Deposit,,No,Self Interactive,System-recorded deposit for QuickBooks Payments,Undeposited Funds,600.00  
,03/02/2021,Bill Payment (Check),,No,Zoom Video,,Accounts Payable (A/P),-14.99  
,03/03/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-9.42  
,03/03/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,03/03/2021,Payment,,No,Hearo Technologies,,Accounts Receivable (A/R),600.00  
,03/09/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,04/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,04/05/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.25  
,04/05/2021,Bill Payment (Check),,No,Zoom Video,,Accounts Payable (A/P),-14.99  
,04/08/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,04/09/2021,Expenditure,,No,,,Devs:Devs Office Supplies,-17.98  
,04/15/2021,Expenditure,,No,Meetup.com,,Devs:Devs Office Supplies,-98.94  
,05/03/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,05/03/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-9.98  
,05/07/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-71.45  
,05/07/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,06/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,06/04/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.22  
,06/04/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-73.99  
,06/09/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,06/24/2021,Payment,,No,Jack Henry & Associates,,Accounts Receivable (A/R),"1,500.00  "
,07/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,07/06/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-9.96  
,07/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,07/09/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-122.78  
,07/12/2021,Expenditure,,No,,,Devs:Devs Office Supplies,-39.96  
,08/02/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,08/03/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.26  
,08/06/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-60.91  
,08/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Accounts Payable (A/P),-20.00  
,08/30/2021,Expenditure,,No,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs:Devs Payment Fees (Intuit),-40.85  
,08/30/2021,Deposit,,No,O'reilly Auto,System-recorded deposit for QuickBooks Payments,Undeposited Funds,"1,400.00  "
,08/31/2021,Expenditure,,No,Printful,,Supplies & Materials,-17.99  
,09/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,09/02/2021,Deposit,,No,Stripe Payments,,Merchandise,22.02  
,09/03/2021,Expenditure,,No,Printful,,Cost of Goods Sold,-35.53  
,09/03/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-86.37  
,09/03/2021,Expenditure,,No,Printful,,Cost of Goods Sold,-35.88  
,09/07/2021,Expenditure,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,-27.58  
,09/07/2021,Deposit,,No,Stripe Payments,,Merchandise,92.09  
,09/07/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.25  
,09/30/2021,Expenditure,,No,Name.com,,Devs:Devs Office Supplies,-19.98  
,10/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,10/04/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-9.94  
,10/04/2021,Bill Payment (Check),,No,1Password,,Accounts Payable (A/P),-59.85  
,10/06/2021,Expenditure,,No,Microsoft Corporation,,Devs:Devs Office Supplies,-25.00  
,10/08/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-62.03  
,10/15/2021,Expenditure,,No,Meetup.com,,Devs:Devs Software & Hosting,-98.94  
,10/18/2021,Expenditure,,No,Name.com,,Devs:Devs Software & Hosting,-19.98  
,11/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,11/03/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-10.25  
,11/05/2021,Expenditure,,No,Pizza Hut (Grant),,Devs:Devs Member Meals,-69.36  
,11/08/2021,Expenditure,,No,,,Devs:Devs Software & Hosting,-19.98  
,11/08/2021,Expenditure,,No,Microsoft Corporation,,Devs:Devs Office Supplies,-25.00  
,11/29/2021,Deposit,,No,World Wide Technology,System-recorded deposit for QuickBooks Payments,Undeposited Funds,"1,500.00  "
,11/29/2021,Expenditure,,No,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs:Devs Payment Fees (Intuit),-43.75  
,11/30/2021,Expenditure,,No,QuickBooks Payments,,Devs:Devs Payment Fees (Intuit),-43.75  
,12/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),-20.00  
,12/03/2021,Expenditure,,No,Andy B's Springfield,,Devs:Devs Member Meals,-186.75  
,12/03/2021,Expenditure,,No,Andy B's Springfield,,Devs:Devs Member Meals,-58.37  
,12/03/2021,Expenditure,,No,Amazon Web Services,,Devs:Devs Software & Hosting,-9.96  
,12/03/2021,Expenditure,,No,Andy B's Springfield,,Devs:Devs Member Meals,-58.37  
,12/06/2021,Expenditure,,No,Microsoft Corporation,,Devs:Devs Office Supplies,-25.00  
,12/17/2021,Expenditure,,No,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs:Devs Payment Fees (Intuit),-43.75  
,12/17/2021,Deposit,,No,Mostly Serious,System-recorded deposit for QuickBooks Payments,Undeposited Funds,"1,500.00  "
Total for Devs Checking (7527),,,,,,,,"$3,656.60  "
Accounts Receivable (A/R),,,,,,,,
,02/11/2021,Payment,,No,Self Interactive,,Undeposited Funds,-600.00  
,03/02/2021,Pledge,1180,No,Hearo Technologies,,Devs Revenue:Devs Sponsorships,600.00  
,03/03/2021,Payment,,No,Hearo Technologies,,Devs Checking (7527),-600.00  
,04/23/2021,Pledge,1181,No,Jack Henry & Associates,,Devs Revenue:Devs Sponsorships,"1,500.00  "
,06/24/2021,Payment,,No,Jack Henry & Associates,,Devs Checking (7527),"-1,500.00  "
,07/27/2021,Pledge,1182,No,World Wide Technology,,Devs Revenue:Devs Sponsorships,"1,500.00  "
,08/18/2021,Pledge,1183,No,O'reilly Auto,,-Split-,"1,400.00  "
,08/30/2021,Payment,,No,O'reilly Auto,,Undeposited Funds,"-1,400.00  "
,11/17/2021,Pledge,1184,No,Mostly Serious,,Devs Revenue:Devs Sponsorships,"1,500.00  "
,11/29/2021,Payment,,No,World Wide Technology,,Undeposited Funds,"-1,500.00  "
,12/17/2021,Payment,,No,Mostly Serious,,Undeposited Funds,"-1,500.00  "
Total for Accounts Receivable (A/R),,,,,,,,-$600.00  
Undeposited Funds,,,,,,,,
,02/11/2021,Payment,,No,Self Interactive,Paid via QuickBooks Payments: Payment ID aoz5yxgx,Accounts Receivable (A/R),600.00  
,02/11/2021,Deposit,,No,Self Interactive,Paid via QuickBooks Payments: Payment ID aoz5yxgx,Devs Checking (7527),-600.00  
,08/30/2021,Deposit,,No,O'reilly Auto,Paid via QuickBooks Payments: Payment ID MU0026764343,Devs Checking (7527),"-1,400.00  "
,08/30/2021,Payment,,No,O'reilly Auto,Paid via QuickBooks Payments: Payment ID MU0026764343,Accounts Receivable (A/R),"1,400.00  "
,11/29/2021,Payment,,No,World Wide Technology,Paid via QuickBooks Payments: Payment ID 074219,Accounts Receivable (A/R),"1,500.00  "
,11/29/2021,Deposit,,No,World Wide Technology,Paid via QuickBooks Payments: Payment ID 074219,Devs Checking (7527),"-1,500.00  "
,12/17/2021,Payment,,No,Mostly Serious,Paid via QuickBooks Payments: Payment ID 0688CE,Accounts Receivable (A/R),"1,500.00  "
,12/17/2021,Deposit,,No,Mostly Serious,Paid via QuickBooks Payments: Payment ID 0688CE,Devs Checking (7527),"-1,500.00  "
Total for Undeposited Funds,,,,,,,,$0.00  
Accounts Payable (A/P),,,,,,,,
,01/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,01/01/2021,Bill,,No,Zoom Video,,Devs:Devs Software & Hosting,14.99  
,01/04/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),-14.99  
,01/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,01/06/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,01/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,02/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,02/01/2021,Bill,,No,Zoom Video,,Devs:Devs Software & Hosting,14.99  
,02/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,02/02/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),-14.99  
,02/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,02/08/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,03/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,03/01/2021,Bill,,No,Zoom Video,,Devs:Devs Software & Hosting,14.99  
,03/02/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),-14.99  
,03/03/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,03/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,03/09/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,04/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,04/01/2021,Bill,,No,Zoom Video,,Devs:Devs Software & Hosting,14.99  
,04/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,04/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,04/05/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),-14.99  
,04/08/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,05/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,05/03/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,05/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,05/07/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,06/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,06/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,06/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,06/09/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,07/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,07/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,07/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,07/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,08/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,08/02/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,08/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,08/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),-20.00  
,09/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,09/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,09/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,10/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,10/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,10/02/2021,Bill,,No,1Password,,Devs:Devs Software & Hosting,59.85  
,10/04/2021,Bill Payment (Check),,No,1Password,,Devs Checking (7527),-59.85  
,10/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,11/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,11/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,11/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
,12/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Devs:Devs Software & Hosting,20.00  
,12/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),-20.00  
,12/05/2021,Bill,,No,Microsoft Corporation,,Devs:Devs Software & Hosting,20.00  
Total for Accounts Payable (A/P),,,,,,,,$80.00  
Devs Revenue,,,,,,,,
   Devs Sponsorships,,,,,,,,
,03/02/2021,Pledge,1180,No,Hearo Technologies,Tier 1 Sponsor benefits for 12 months,Accounts Receivable (A/R),600.00  
,04/23/2021,Pledge,1181,No,Jack Henry & Associates,Tier 2 Sponsor benefits for 12 months,Accounts Receivable (A/R),"1,500.00  "
,07/27/2021,Pledge,1182,No,World Wide Technology,Tier 2 Sponsor benefits for 12 months,Accounts Receivable (A/R),"1,500.00  "
,08/18/2021,Pledge,1183,No,O'reilly Auto,Tier 2 Sponsor benefits for 12 months,Accounts Receivable (A/R),"1,500.00  "
,11/17/2021,Pledge,1184,No,Mostly Serious,Tier 2 Sponsor benefits for 12 months,Accounts Receivable (A/R),"1,500.00  "
   Total for Devs Sponsorships,,,,,,,,"$6,600.00  "
Total for Devs Revenue,,,,,,,,"$6,600.00  "
Discounts given,,,,,,,,
,08/18/2021,Pledge,1183,No,O'reilly Auto,Discount,Accounts Receivable (A/R),-100.00  
Total for Discounts given,,,,,,,,-$100.00  
Merchandise,,,,,,,,
,09/02/2021,Deposit,,No,Stripe Payments,TRANSFER STRIPE XXXX5600 ID #ST-K4C0F8V6O2C9 21/09/02 TRACE #XXXX2159,Devs Checking (7527),22.02  
,09/07/2021,Deposit,,No,Stripe Payments,TRANSFER STRIPE XXXX5600 ID #ST-V4U7B5O0N3G1 21/09/07 TRACE #XXXX6827,Devs Checking (7527),92.09  
Total for Merchandise,,,,,,,,$114.11  
Cost of Goods Sold,,,,,,,,
,09/03/2021,Expenditure,,No,Printful,"DBT CRD 1555 DBCOZZ96 PRINTFUL, INC. CHARLOTTE NC C#4443",Devs Checking (7527),35.53  
,09/03/2021,Expenditure,,No,Printful,"DBT CRD 1029 DBYJVTCE PRINTFUL, INC. CHARLOTTE NC C#4443",Devs Checking (7527),35.88  
Total for Cost of Goods Sold,,,,,,,,$71.41  
Devs,,,,,,,,
   Devs Insurance,,,,,,,,
,02/01/2021,Check,2001,No,Pillar Insurance Springfield,Check               2001,Devs Checking (7527),"1,148.00  "
   Total for Devs Insurance,,,,,,,,"$1,148.00  "
   Devs Member Meals,,,,,,,,
,05/07/2021,Expenditure,,No,Pizza Hut (Grant),DBT CRD 1457 DBUCM PIZZA HUT 004082 4178638722 MO C#4443,Devs Checking (7527),71.45  
,06/04/2021,Expenditure,,No,Pizza Hut (Grant),DBT CRD 1454 DBIQT36L PIZZA HUT 004082 4178638722 MO C#4443,Devs Checking (7527),73.99  
,07/09/2021,Expenditure,,No,Pizza Hut (Grant),DBT CRD 1113 DBBXKMPK PIZZA HUT 004082 4178638722 MO C#4443,Devs Checking (7527),122.78  
